Company-Name,Founded in,Ownership,India Employee count,Global Employee count,Headquarters,Office Locations,CEO,Founders,Type of Company,Nature of Business,Company Email ID,Company Contact no.,Social Media Presence,Website,Details,Reviews,Salaries,Interviews,Jobs,Benefits
United Alliance Technology,,,,,,,,,,,,,,https://unitedalliancetechnology.com/,IT Services & Consulting | Pune +9 more,776,32,2,--,99
RBL FinServe,2005 (18 yrs old),Private,5k-10k,,"Mumbai,Maharashtra, India",,,,Corporate,B2C|B2B,,,https://www.linkedin.com/company/swadhaarfinservepvtltd,https://rblfinserve.com/,Financial Services | 5k-10k Employees | 18 years old | Mumbai +262 more,774,2.6k,29,20,82
Barbeque Nation,2006 (17 yrs old),Private,5k-10k,,"Bangalore/Bengaluru, Karnataka, India",Hyderabad/Secunderabad,Sameer Bhasin,,Corporate,B2C,,,https://www.facebook.com/BarbequeNation/|https://twitter.com/barbequenation,https://www.barbequenation.com/,Retail | 5k-10k Employees | 17 years old | Bangalore/Bengaluru +64 more,773,2.5k,23,17,120
BGR Energy Systems,1985 (38 yrs old),Public,1k-5k,,"Chennai, Tamilnadu, India",Chennai,,,Corporate,Product|Service|B2C,,,https://www.linkedin.com/company/bgr-energy-systems,https://www.bgrcorp.com/index.php,Engineering & Construction | 1k-5k Employees | Public | 38 years old | Chennai +46 more,773,4k,31,--,125
Aarvee Associates,1989 (34 yrs old),Private,1k-5k,1k-5k,"Hyderabad/Secunderabad, Telangana, India","Hyderabad/Secunderabad, Telangana, India",,,Indian MNC,Service|B2C,,,https://www.linkedin.com/company/aarvee-associates/,https://aarvee.com/,Engineering & Construction | 1k-5k Employees | 34 years old | Hyderabad/Secunderabad +121 more,773,3.1k,53,8,104
Urban Company,2015 (8 yrs old),Private,1k-5k,1k-5k,"Gurgaon,Haryana, India",Chennai|Kolkata|Pune,,,Startup,Product|Service|B2C,,,https://facebook.com/urbancompany|https://linkedin.com/company/urbancompany|https://twitter.com/urbancompany_uc|https://www.youtube.com/@UrbanCompanyYT,https://www.urbancompany.com,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Gurgaon +49 more,773,4.1k,67,62,109
OpenText Technologies,1991 (32 yrs old),Private,1k-5k,1k-5k,"Waterloo,Ontario, Canada",Hyderabad/Secunderabad|Bengaluru/Bangalore,Mark J. Barrenechea,,Foreign MNC,Product|B2B|SaaS,hr@opentext.com,8004996544.0,https://www.facebook.com/opentext|https://twitter.com/OpenText|https://www.youtube.com/user/opentextcorp,https://www.opentext.com/,Software Product | 1k-5k Employees | 32 years old | Waterloo +8 more,772,6.4k,60,278,99
Ceasefire Industries,2002 (21 yrs old),Private,1k-5k,1k-5k,"Noida, India","Noida, India",,,Corporate,B2C,,,https://www.facebook.com/Ceasefire-Industries-Ltd-670277893036546/|https://www.linkedin.com/company/ceasefire-industries-ltd|https://twitter.com/CeasefireIndia,http://www.ceasefire.in,Industrial Machinery | 1k-5k Employees | 21 years old | Noida +68 more,772,2.9k,55,7,76
Shriram Life Insurance,2005 (18 yrs old),Private,1k-5k,,"Hyderabad/Secunderabad, Telangana, India","Hyderabad/Secunderabad, Telangana, India",,,Corporate,B2C|B2B,,,https://www.facebook.com/Shriramlife|https://www.linkedin.com/company/shriram-life-insurance|https://twitter.com/shriramlifeins,http://www.shriramlife.com,Insurance | 1k-5k Employees | Conglomerate | 18 years old | Hyderabad/Secunderabad +203 more,771,3.4k,36,5,83
Vistaar Finance,2010 (13 yrs old),Private,1k-5k,,"Bengaluru/Bangalore, Karnataka, India",Ahmedabad|New Delhi,Ramakrishna Nishtala,,Corporate,Product|B2C|B2B,contactus@vistaarfinance.com,8030088494.0,http://facebook.com/vistaarfinanceofficial|https://linkedin.com/company/vistaar-financial-services|https://instagram.com/vistaarfin?igshid=ogq5zdc2odk2za==,https://www.vistaarfinance.com/,NBFC | 1k-5k Employees | 13 years old | Bengaluru/Bangalore +162 more,771,2.2k,18,4,135
1point1 Solutions,2008 (15 yrs old),Public,5k-10k,,"Navi Mumbai, Maharashtra, India","Navi Mumbai, Maharashtra, India",,,Corporate,B2B,,,https://www.linkedin.com/company/one-point-one-solutions,http://www.1point1.in,BPO | 5k-10k Employees | Public | 15 years old | Navi Mumbai +14 more,770,3.1k,51,68,90
Intex Technologies,1996 (27 yrs old),Public,1k-5k,,"Delhi/NCR, New Delhi, India",New Delhi,Narendra Bansal,,Corporate,B2C,info@intex.in,,https://www.facebook.com/intexbrand|https://www.linkedin.com/company/intex-technologies-india-ltd-|https://twitter.com/intexbrand,https://www.intex.in/,Consumer Electronics & Appliances | 1k-5k Employees | Public | 27 years old | Delhi/NCR +71 more,770,2k,13,4,97
PNC Infratech,1999 (24 yrs old),Public,5k-10k,,"Delhi/NCR, Delhi, India",,,,Corporate,B2B,,,https://www.linkedin.com/company/pnc-infratech-ltd.,https://www.pncinfratech.com/,Engineering & Construction | 5k-10k Employees | Public | 24 years old | Delhi/NCR +72 more,770,3.2k,41,9,79
Novo Nordisk,1923 (100 yrs old),Private,1k-5k,10k-50k,"New York City,New York, United States",,,,Foreign MNC,B2B,,,https://www.facebook.com/novonordisk|https://www.linkedin.com/company/10630922|https://twitter.com/novonordisk|https://www.youtube.com/@novonordisk,http://www.novonordisk.com,Pharma | 1k-5k Employees | Forbes Global 2000 | 100 years old | New York City +62 more,769,5k,54,77,133
Lemon Tree Hotels,2002 (21 yrs old),Public,1k-5k,5k-10k,"Delhi/NCR, Delhi, India",,,,Corporate,B2C,,,https://www.linkedin.com/company/the-lemon-tree-hotel-company|https://twitter.com/lemontreehotels,http://www.lemontreehotels.com,Hospitality | 1k-5k Employees | Public | 21 years old | Delhi/NCR +58 more,767,2.8k,29,--,141
Altimetrik,2012 (11 yrs old),Private,1k-5k,5k-10k,"Southfield, Michigan, United States (USA)",,Raj Vattikuti,,Foreign MNC,Service|B2B,info@altimetrik.com,2482812500.0,https://www.facebook.com/pages/Altimetrik/457127814375081|https://twitter.com/Altimetrik|https://www.youtube.com/channel/uc1kx4osi7ecg98gfpjlozjw|https://www.instagram.com/belongtoaltimetrik/,https://www.altimetrik.com/,IT Services & Consulting | 1k-5k Employees | 11 years old | Southfield +10 more,766,8.2k,90,199,117
Hitachi Astemo,,,1k-5k,50k-1 Lakh,,,,,,,,,,http://www.hitachiastemo.com,Auto Components | 1k-5k Employees | Neemrana +24 more,766,3.6k,66,--,134
Edelweiss Tokio Life Insurance,2011 (12 yrs old),,1k-5k,1k-5k,"Mumbai,Maharashtra, India",,,,,,,,https://www.linkedin.com/company/edelweiss-tokio-life-insurance|https://twitter.com/edelweiss_tokio,https://www.edelweisstokio.in/,Insurance | 1k-5k Employees | 12 years old | Mumbai +113 more,765,3.7k,28,6,95
Intel,1968 (55 yrs old),Public,10k-50k,1 Lakh+,"Santa Clara,California, United States",Bengaluru/Bangalore,Patrick Gelsinger,,Foreign MNC,Product|Service|B2B,,7658080.0,https://www.facebook.com/intel/|https://twitter.com/intel?ref_src=twsrc%5egoogle%7ctwcamp%5eserp%7ctwgr%5eauthor|https://www.youtube.com/c/intel|https://instagram.com/intelindia?igshid=ymmymta2m2y=,https://www.intel.com/content/www/us/en/company-overview/company-overview.html,Semiconductors | 10k-50k Employees | Public | 55 years old | Santa Clara +25 more,765,7.7k,122,339,100
TechnipFMC,2017 (6 yrs old),Private,1k-5k,10k-50k,"Paris, France",Chennai|Noida|Mumbai,Doug Pferdehirt,,Foreign MNC,B2B,,,https://www.facebook.com/TechnipGroup|https://twitter.com/TechnipGroup,https://www.technipfmc.com/,Industrial Machinery | 1k-5k Employees | 6 years old | Paris +39 more,763,5.3k,47,1,111
DCM Shriram,1990 (33 yrs old),Public,1k-5k,5k-10k,"Delhi/NCR, New Delhi, India",New Delhi|Kota,,,Corporate,B2B,,,https://www.linkedin.com/company/dcm-shriram-ltd|https://www.youtube.com/@dcmshriramltd.1972,http://www.dcmshriram.com/,Chemicals | 1k-5k Employees | Public | 33 years old | Delhi/NCR +69 more,762,3.7k,52,10,126
Power Grid Corporation of India,1989 (34 yrs old),Private,5k-10k,5k-10k,"Gurgaon/Gurugram, Haryana, India","Gurgaon/Gurugram, Haryana, India",,,Govt/PSU,B2B,,,https://www.facebook.com/pgcilindia|https://www.linkedin.com/company/powergrid|https://www.twitter.com/pgcilindia,https://www.powergrid.in/,Power | 5k-10k Employees | Fortune India 500 | 34 years old | Gurgaon/Gurugram +173 more,761,2k,46,--,81
Schaeffler India,1946 (77 yrs old),Public,1k-5k,50k-1 Lakh,"Mumbai, Maharashtra, India",,,,Indian MNC,B2B,,,https://www.youtube.com/@schaeffler,https://www.schaeffler.co.in/content.schaeffler.co.in/en/index.jsp,Auto Components | 1k-5k Employees | Public | 77 years old | Mumbai +21 more,760,4.1k,32,8,114
iMerit,2012 (11 yrs old),Private,1k-5k,1k-5k,"Kolkata, West Bengal, India",Bhubaneswar,,,Startup,Service|B2B,,,http://www.facebook.com/IMeritTechnology|https://www.linkedin.com/company/imerit|https://twitter.com/imeritdigital,http://www.imerit.net,Software Product | 1k-5k Employees | Startup | 11 years old | Kolkata +10 more,760,3.6k,65,21,103
The Ramco Cements,1961 (62 yrs old),Public,1k-5k,10k-50k,"Chennai,Tamil Nadu, India",,,,Corporate,B2C|B2B,,,,http://www.ramcocements.in,Building Material | 1k-5k Employees | Public | 62 years old | Chennai +82 more,760,3.2k,33,--,99
Airtel Payments Bank,2016 (7 yrs old),Public,501-1k,501-1k,"Delhi/NCR, New Delhi, India",,,,Corporate,Product|B2C,,,,https://www.airtel.in/bank/,Financial Services | 501-1k Employees | Public | 7 years old | Delhi/NCR +195 more,757,3.8k,48,44,114
Provana,2011 (12 yrs old),Private,1k-5k,,"Lisle, Illinois, United States (USA)",,Sandeep Bhargava,,Foreign MNC,Service|B2B,,,,https://provana.com,IT Services & Consulting | 1k-5k Employees | 12 years old | Lisle +4 more,756,2.8k,36,18,269
V2 Retail,2001 (22 yrs old),Public,1k-5k,,"Delhi/NCR, Delhi, India",,,,Indian MNC,B2C,,,https://www.facebook.com/V2retail/|https://www.linkedin.com/company/v2-retail-ltd/|https://twitter.com/v2retail?lang=en,http://www.v2retail.com/,Retail | 1k-5k Employees | Public | 22 years old | Delhi/NCR +83 more,754,2.3k,34,--,89
Apotex Research,2003 (20 yrs old),Private,201-500,5k-10k,"Brantford, Ontario, Canada",,Jeff Watson,,Foreign MNC,B2B,,,,https://www.apotex.com/in/en/default.asp,Pharma | 201-500 Employees | 20 years old | Brantford +13 more,754,2.7k,15,--,110
OM Logistics,1999 (24 yrs old),Private,1k-5k,5k-10k,"Delhi/NCR, Delhi, India",,,,Corporate,B2B,,,https://www.linkedin.com/company/om-logsitcs-limited,https://omlogistics.co.in/,Logistics | 1k-5k Employees | 24 years old | Delhi/NCR +99 more,753,3k,37,5,101
Bajaj Housing Finance,2008 (15 yrs old),Private,1k-5k,,"Pune, Maharashtra, India","Pune, Maharashtra, India",,,Corporate,B2C|B2B,,,,https://www.bajajhousingfinance.in/,NBFC | 1k-5k Employees | 15 years old | Pune +113 more,752,4.4k,37,7,62
Ion Exchange India,1964 (59 yrs old),Public,1k-5k,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",Dinesh Sadasivan,,Corporate,B2C|B2B,,,https://www.facebook.com/IONEXCHANGE|https://www.linkedin.com/company/ion-exchange-india-ltd|https://twitter.com/iei_ltd|https://www.youtube.com/@ionexchange9704,https://ionexchangeglobal.com/,Waste Management | 1k-5k Employees | Public | 59 years old | Mumbai +78 more,751,4.1k,40,12,89
Hyundai Mobis,2017 (6 yrs old),Private,1k-5k,10k-50k,"Kanchipuram, Tamil Nadu, India",,,,Indian MNC,B2C|B2B,,,,https://hyundaimobisin.com/,Auto Components | 1k-5k Employees | Forbes Global 2000 | 6 years old | Kanchipuram +39 more,750,4.4k,41,2,141
Evision Technoserve,2012 (11 yrs old),Private,201-500,,"Delhi/NCR, Delhi, India",,,,Corporate,B2C,,,https://www.youtube.com/@evisionjobguarantee,http://evisiontechnoserve.com/,Recruitment | 201-500 Employees | 11 years old | Delhi/NCR +60 more,748,234,15,--,41
Feedback Infrastructure Services,1990 (33 yrs old),Private,5k-10k,5k-10k,"Gurgaon/Gurugram, Haryana, India","Gurgaon/Gurugram, Haryana, India",Abhilesh Babel,,Corporate,Product|Service|B2C,,,https://www.facebook.com/feedbackinfragroup|https://www.linkedin.com/company/feedback-infra|https://twitter.com/Feedback_Infra,http://www.feedbackinfra.com/,Engineering & Construction | 5k-10k Employees | 33 years old | Gurgaon/Gurugram +117 more,746,3.1k,32,6,93
Capacit'e Infraprojects,2012 (11 yrs old),Public,1k-5k,,"Mumbai,Maharashtra, India",,,,,B2B,,,https://www.facebook.com/capacite-infraprojects-limited-249358921935802|https://www.linkedin.com/company/capacite-infraprojects-pvt-ltd-,https://www.capacite.in/,Engineering & Construction | 1k-5k Employees | Public | 11 years old | Mumbai +29 more,746,3.3k,39,--,65
Sheenlac Paints,1962 (61 yrs old),Public,501-1k,501-1k,"Chennai, Tamil Nadu, India","Chennai, Tamil Nadu, India",,,Corporate,B2C,,,https://www.youtube.com/@PaintGuide,http://sheenlac.com/,Chemicals | 501-1k Employees | Public | 61 years old | Chennai +107 more,746,1.3k,41,--,52
Hathway,1959 (64 yrs old),Private,501-1k,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",Jagdish Kumar G Pillai,,Corporate,B2C,,,https://www.facebook.com/HathwayBroadbandServices|https://www.linkedin.com/company/hathway-cable-and-datacom-pvt-ltd|https://twitter.com/HathwayBrdband?lang=en,https://www.hathway.com/,Broadcasting | 501-1k Employees | 64 years old | Mumbai +47 more,745,3.6k,33,9,77
ThyssenKrupp Industries India,1947 (76 yrs old),Private,1k-5k,,"Pune, Maharashtra, India","Pune, Maharashtra, India",,,Corporate,B2B,,,https://www.youtube.com/@thyssenkruppindustriesindi9005,https://www.thyssenkrupp-industries-india.com,Industrial Machinery | 1k-5k Employees | Conglomerate | 76 years old | Pune +42 more,744,4.2k,37,--,93
PharmEasy,2015 (8 yrs old),Private,1k-5k,1k-5k,"Mumbai,Maharashtra, India",Mumbai,,,Startup,Product|B2C|B2B,,,https://facebook.com/pharmeasy|https://linkedin.com/company/pharmeasy|https://twitter.com/pharmeasyapp,https://pharmeasy.in/,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Mumbai +48 more,743,4.4k,52,126,94
Unicharm,1961 (62 yrs old),Private,1k-5k,10k-50k,"Mita, Tokyo, Japan",,,,Foreign MNC,B2C,,,,http://www.unicharm.co.in,Beauty & Personal Care | 1k-5k Employees | Forbes Global 2000 | 62 years old | Mita +129 more,743,2.6k,38,5,112
Shalby Hospitals,1994 (29 yrs old),Public,1k-5k,1k-5k,"Ahmedabad, Gujarat, India",Ahmedabad|Surat|Indore,,,Corporate,Service|B2C|B2B,,,https://www.linkedin.com/company/246704|http://twitter.com/shalbyhospitals,http://www.shalby.org,Healthcare | 1k-5k Employees | Public | 29 years old | Ahmedabad +23 more,742,1.9k,21,17,55
Dana Anand,1993 (30 yrs old),Private,1k-5k,1k-5k,"Delhi/NCR, Delhi, India",,Deepak Chopra,,Corporate,B2B,,,https://www.linkedin.com/company/spicer-india-ltd,https://www.anandgroupindia.com/danaanandindia/,Auto Components | 1k-5k Employees | 30 years old | Delhi/NCR +37 more,742,2.8k,27,--,130
SLK Global Services,2000 (23 yrs old),Private,1k-5k,5k-10k,"Dallas, Texas, United States (USA)",,,,Corporate,Service|B2B,,,,http://www.slkgroup.com/global/,BPO | 1k-5k Employees | 23 years old | Dallas +8 more,741,3.8k,19,5,102
Tata Chemicals,1939 (84 yrs old),Public,1k-5k,1k-5k,"Mumbai, Maharashtra, India",Ahmedabad|Chennai,R Mukundan,,Indian MNC,Service|B2B,,,https://facebook.com/TataChemicals/|https://twitter.com/TataChemicals/|https://www.youtube.com/TataChemicalsLtd,https://www.tatachemicals.com/,Chemicals | 1k-5k Employees | Public | 84 years old | Mumbai +77 more,738,2.8k,40,11,136
Chetu,2000 (23 yrs old),Private,1k-5k,1k-5k,"Sunrise, FL US, United States (USA)",Noida,Atal Bansal,,Foreign MNC,Service|B2B,,,https://www.facebook.com/chetuinc|https://twitter.com/ChetuInc|https://www.youtube.com/c/chetuinc,https://www.chetu.com/,Software Product | 1k-5k Employees | 23 years old | Sunrise +7 more,735,7.4k,105,25,118
TK Elevator,1995 (28 yrs old),Private,1k-5k,10k-50k,"Essen, Germany",,Peter Walker,,,,,,http://www.facebook.com/pages/ThyssenKrupp-Elevator-Americas/190408894310233|http://twitter.com/tke_americas,https://www.tkelevator.com/in-en/,Industrial Machinery | 1k-5k Employees | 28 years old | Essen +64 more,734,3.5k,28,4,100
Nykaa,2012 (11 yrs old),Public,1k-5k,1k-5k,"Mumbai,Maharashtra, India",Mumbai,Falguni Nayar,,,Product|B2C,,,https://facebook.com/mynykaa|https://linkedin.com/company/nykaa-com|https://twitter.com/mynykaa|https://www.youtube.com/@Nykaa,https://www.nykaa.com,Internet | 1k-5k Employees | Public | 11 years old | Mumbai +72 more,733,4.7k,62,101,60
V5 Global Services,2005 (18 yrs old),Private,10k-50k,,"Delhi/NCR, Delhi, India",New Delhi|Pune|Kolkata,,,Corporate,B2C,,,https://www.linkedin.com/company/v5-global-services-pvt-ltd,https://v5global.com/,Recruitment | 10k-50k Employees | 18 years old | Delhi/NCR +141 more,732,2.6k,39,166,76
Amazon Logistics,,,51-200,1 Lakh+,,,,,,,,,,https://logistics.amazon.in/,Logistics | 51-200 Employees | Hyderabad/Secunderabad +103 more,731,2.8k,53,--,85
Fidelity Investment,1946 (77 yrs old),Private,5k-10k,50k-1 Lakh,"Boston,Massachusetts, United States",,,,Foreign MNC,B2C,,,https://www.facebook.com/fidelityinvestments|https://www.linkedin.com/company/fidelity-investments|https://twitter.com/fidelity|https://www.youtube.com/@Fidelity,https://www.fidelity.com/,Financial Services | 5k-10k Employees | 77 years old | Boston +12 more,731,8.3k,48,2,172
Kirloskar Brothers,1888 (135 yrs old),Public,1k-5k,1k-5k,"Pune, India","Pune, India",,,MNC,Product|B2C|B2B,,,https://www.facebook.com/kblpumps/|https://www.linkedin.com/company/kirloskar-brothers-limited/?originalSubdomain=in|https://twitter.com/KBLPumps?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,http://www.kirloskarpumps.com,Industrial Machinery | 1k-5k Employees | Public | 135 years old | Pune +54 more,730,3.9k,42,19,102
Hindustan Zinc,1966 (57 yrs old),Public,1k-5k,5k-10k,"Udaipur, Rajasthan, India","Udaipur, Rajasthan, India",Sunil Duggal,,Corporate,B2B,,,https://www.facebook.com/HindustanZinc/|https://www.linkedin.com/company/hindustanzinc|https://twitter.com/hindustan_zinc,https://www.hzlindia.com/,Metals & Mining | 1k-5k Employees | Public | 57 years old | Udaipur +24 more,730,4.2k,29,--,107
Spandana Sphoorty Financial,1998 (25 yrs old),Public,10k-50k,,"Hyderabad/Secunderabad, Telangana, India","Hyderabad/Secunderabad, Telangana, India",Shalabh Saxena,,Corporate,B2C,careers@spandanasphoorty.com,4045474750.0,https://www.facebook.com/profile.php?id=100088770888545|https://in.linkedin.com/company/spandana-sphoorty-financial-limited|https://twitter.com/ssphoorty|https://www.youtube.com/channel/UCi8YjDxkwnv8jMi1HRlh0SA|https://www.instagram.com/spandanasphoorty__/,http://www.spandanasphoorty.com,NBFC | 10k-50k Employees | Public | 25 years old | Hyderabad/Secunderabad +213 more,728,2.2k,24,14,79
GEP Worldwide,1999 (24 yrs old),Private,1k-5k,1k-5k,"Clark, New Jersey, United States (USA)",Hyderabad/Secunderabad|Navi Mumbai,Dr. Subhash Makhija,,Foreign MNC,B2B,,,https://www.facebook.com/gepworldwide|https://twitter.com/intent/tweet?url=https://www.gep.com/|https://www.youtube.com/c/gepprocurement,https://www.gep.com,IT Services & Consulting | 1k-5k Employees | 24 years old | Clark +8 more,727,6.9k,65,74,131
Colgate Palmolive,1937 (86 yrs old),Public,1k-5k,10k-50k,"New York, New York, United States (USA)",,,,Corporate,B2C|B2B,,,https://www.facebook.com/ColgateIndia|youtube.com/@colgatepalmolive,https://www.colgatepalmolive.co.in/,FMCG | 1k-5k Employees | Public | 86 years old | New York +92 more,727,3.7k,44,17,119
TradeIndia (Infocom Network Private Limited),1996 (27 yrs old),Private,1k-5k,,"Noida, Uttar Pradesh, India",Hyderabad/Secunderabad|Ahmedabad,Sandip Chhettri,,Corporate,Product|Service|B2B,hrd@tradeindia.com,1146710500.0,https://www.facebook.com/tradeindia/|https://in.linkedin.com/company/tradeindia|https://twitter.com/tradeindia|https://www.youtube.com/tradeindia|https://www.instagram.com/tradeindia/?hl=en,https://www.tradeindia.com/,Internet | 1k-5k Employees | 27 years old | Noida +38 more,727,4.3k,45,108,59
Brillio,2014 (9 yrs old),Private,1k-5k,5k-10k,"Edison, New Jersey, United States (USA)",,Raj Mamodia,,Foreign MNC,Service|B2B,,,https://www.facebook.com/BrillioGlobalOfficial/|https://twitter.com/BrillioGlobal|https://www.youtube.com/c/brillio/about|https://www.instagram.com/brillioglobal/,https://www.brillio.com/,IT Services & Consulting | 1k-5k Employees | 9 years old | Edison +10 more,726,8.2k,69,141,83
Bosch Chassis Systems,1951 (72 yrs old),Private,1k-5k,10k-50k,"Gerlingen, Germany",,,,Foreign MNC,B2C|B2B,,,,https://www.bosch.in,Auto Components | 1k-5k Employees | 72 years old | Gerlingen +20 more,726,2.8k,26,--,118
Dassault Systemes,1981 (42 yrs old),Private,5k-10k,10k-50k,"Velizy-villacoublay,Yvelines, France",,Bernard Charlès,,Foreign MNC,B2B,,,https://www.facebook.com/DassaultSystemes/|https://twitter.com/dassault3DS|https://www.youtube.com/@dassaultsystemes,http://www.3dplmsoftware.com/,Software Product | 5k-10k Employees | Forbes Global 2000 | 42 years old | Velizy-villacoublay +8 more,725,5.6k,76,12,146
TEKsystems,1983 (40 yrs old),Private,1k-5k,10k-50k,"Hanover, Maryland, United States (USA)",Hyderabad/Secunderabad|Pune|Bengaluru/Bangalore,,,Foreign MNC,Service|B2C|B2B,,,https://www.facebook.com/teksystems/|https://www.linkedin.com/company/teksystems/|https://twitter.com/TEKsystems|https://www.youtube.com/@TEKsystems,http://www.teksystems.com,IT Services & Consulting | 1k-5k Employees | 40 years old | Hanover +10 more,724,8.3k,44,73,85
Tube Investments of India,1949 (74 yrs old),Public,1k-5k,,"Chennai, India","Chennai, India",,,Corporate,B2C|B2B,,,https://www.facebook.com/tiindia.official,https://tiindia.com/,Engineering & Construction | 1k-5k Employees | Public | 74 years old | Chennai +51 more,724,2.7k,30,10,60
Qualcomm,1996 (27 yrs old),Private,10k-50k,10k-50k,"San Diego,California, United States",,Steve Mollenkopf,,Foreign MNC,Service|B2B|SaaS,,,https://www.facebook.com/qualcomm|https://www.linkedin.com/company/qualcomm/|https://twitter.com/qualcomm|https://www.youtube.com/@qualcomm,https://www.qualcomm.com/,Semiconductors | 10k-50k Employees | Forbes Global 2000 | 27 years old | San Diego +14 more,724,10.3k,160,18,148
CarDekho,2008 (15 yrs old),Private,1k-5k,1k-5k,"Jaipur,Rajasthan, India",Jaipur|Mumbai|Gurgaon/Gurugram,Amit Jain,,Corporate,Product|Service|B2C,,,http://facebook.com/pages/cardekho/179167414600|https://www.linkedin.com/company/cardekhogroup/|http://twitter.com/cardekho|https://www.youtube.com/channel/ucmsjsvduobchfsw5u1sdaqg|https://www.instagram.com/cardekho_insiders/,http://cardekho.com,Internet | 1k-5k Employees | Indian Unicorn | 15 years old | Jaipur +62 more,722,4.2k,48,138,112
FLSmidth,1882 (141 yrs old),Private,1k-5k,10k-50k,"Copenhagen, Valby, Denmark",,Thomas Schulz,,Foreign MNC,B2B,,,,http://www.flsmidth.com,Industrial Machinery | 1k-5k Employees | 141 years old | Copenhagen +19 more,721,4.6k,22,9,112
Pricol,1975 (48 yrs old),Public,1k-5k,5k-10k,"Coimbatore, Tamil Nadu, India",Coimbatore|Pune,Mr. Ganesh P.M,,Indian MNC,B2B,digital@pricol.com,8870911222.0,https://www.facebook.com/Pricol.limited|https://www.linkedin.com/company/pricol-limited/|https://twitter.com/pricollimited|https://www.instagram.com/pricollimited/,https://pricol.com/,Auto Components | 1k-5k Employees | Public | 48 years old | Coimbatore +25 more,721,4k,27,4,94
AstraZeneca,1999 (24 yrs old),Public,1k-5k,50k-1 Lakh,"Cambridge, Cambridgeshire, United Kingdom (UK)",,Pascal Soriot,,Foreign MNC,B2B,,,https://www.youtube.com/@astrazeneca,http://www.astrazeneca.com,Pharma | 1k-5k Employees | Public | 24 years old | Cambridge +36 more,719,6.2k,23,1,167
CenturyPly,1986 (37 yrs old),Public,1k-5k,1k-5k,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",,,Corporate,B2C,,,https://www.facebook.com/CenturyPlyOfficial|https://www.linkedin.com/company/century-plyboards-i-limited|https://twitter.com/CenturyPlyIndia,https://www.centuryply.com/,Furniture & Furnishing | 1k-5k Employees | Public | 37 years old | Kolkata +90 more,719,3.6k,41,9,55
Acuity Knowledge Partners,2002 (21 yrs old),,1k-5k,5k-10k,"London, United Kingdom, United Kingdom (UK)",,Robert King,,Corporate,B2B,,,https://www.facebook.com/acuityknowledgepartners|https://twitter.com/acuitykp,https://www.acuitykp.com/,Financial Services | 1k-5k Employees | 21 years old | London +12 more,719,7k,64,171,84
Reliance AJIO,2016 (7 yrs old),,1k-5k,,"Bengaluru, India","Bengaluru, India",Nair Vineeth,,,,,,https://www.linkedin.com/company/ajiolife|https://twitter.com/ajiolife,http://www.ajio.com,Internet | 1k-5k Employees | 7 years old | Bengaluru +182 more,719,2.4k,50,5,102
Pizza Hut,1958 (65 yrs old),Private,1k-5k,1 Lakh+,"Plano, Texas, United States (USA)",,,,Foreign MNC,B2C,,,,http://pizzahut.com,Hospitality | 1k-5k Employees | 65 years old | Plano +97 more,718,2k,27,--,83
Nilkamal,1981 (42 yrs old),Public,1k-5k,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",,,Corporate,B2C|B2B,,,https://www.linkedin.com/company/nilkamal-material-handling|https://twitter.com/nilkamal_ltd,http://www.nilkamal.com,Furniture & Furnishing | 1k-5k Employees | Public | 42 years old | Mumbai +89 more,718,3.3k,34,11,84
Happiest Minds Technologies,2011 (12 yrs old),Public,1k-5k,5k-10k,"Bangalore,Karnataka, India",Noida|Bengaluru/Bangalore,Aurobinda Nanda,,,Product|Service|B2B,,,https://www.facebook.com/happiestminds/|https://twitter.com/happiestminds|https://www.youtube.com/@HappiestMinds,https://www.happiestminds.com/,IT Services & Consulting | 1k-5k Employees | Public | 12 years old | Bangalore +14 more,718,8.9k,66,59,96
Next Education India,2007 (16 yrs old),Private,1k-5k,,"Hyderabad/Secunderabad, Telangana, India","Hyderabad/Secunderabad, Telangana, India",Beas Dev Ralhan,,Corporate,Service|B2C|B2B,,,https://facebook.com/nexteducationindia|https://www.linkedin.com/company/nexteducation/mycompany/verification/?viewAsMember=true|https://twitter.com/nexteducationin|https://www.youtube.com/c/nexteducation,https://www.nexteducation.in,EdTech | 1k-5k Employees | 16 years old | Hyderabad/Secunderabad +77 more,718,3.4k,31,39,125
