,Company-Name,Ratings,Details,Reviews,Salaries,Interviews,Jobs,Benefits,Over-View,Founded in,Ownership,India Employee count,Global Employee count,Headquarters,Office Locations,CEO,Founders,Type of Company,Nature of Business,Company Email ID,Company Contact no.,Social Media Presence,Website
10,Genpact,3.9,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +97 more,24.9k,189.4k,1.9k,1.1k,3.6k,/overview/genpact-overview,1997 (26 yrs old),Public,1 Lakh+,1 Lakh+,"New York, New York, United States (USA)",Hyderabad/Secunderabad|New Delhi,Hailey Eichner,,Corporate,B2C|B2B,,,https://www.facebook.com/ProudToBeGenpact/|https://twitter.com/genpact|https://www.youtube.com/@GenpactGlobal,http://www.genpact.com
11,Axis Bank,3.8,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1260 more,20.8k,98.2k,1k,309,2.2k,/overview/axis-bank-overview,1993 (30 yrs old),Public,50k-1 Lakh,50k-1 Lakh,"Mumbai, Maharashtra, India",Ahmedabad|Mumbai,Amitabh Chaudhry,,Indian MNC,B2C|B2B,,,https://www.facebook.com/axisbank|https://www.linkedin.com/company/axis-bank|https://twitter.com/AxisBank|https://www.youtube.com/@AxisBank,https://www.axisbank.com/
12,Concentrix Corporation,3.9,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +103 more,20.6k,103.6k,1k,112,3.2k,/overview/concentrix-corporation-overview,1983 (40 yrs old),Public,50k-1 Lakh,,"Fremont, California, United States (USA)",,Chris Caldwell,,Foreign MNC,Service|B2B,,,https://www.facebook.com/ConcentrixIN/|https://www.linkedin.com/company/concentrix/|https://twitter.com/concentrixind|https://www.youtube.com/playlist?list=PLdywZJqyZrW1mhhDgSk9PHVQ2T_Hf0tKc|https://www.instagram.com/concentrixindia/,http://www.concentrix.com
13,Amazon,4.1,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +419 more,19.8k,140.4k,3.2k,673,4.2k,/overview/amazon-overview,1994 (29 yrs old),Public,1 Lakh+,1 Lakh+,"Seattle,Washington, United States",Hyderabad/Secunderabad|Chennai|Bengaluru/Bangalore,Andy Jassy,,Foreign MNC,Product|B2C|B2B,,,https://www.facebook.com/AmazonIN/|https://www.linkedin.com/company/amazon/|https://twitter.com/amazonIN|https://www.youtube.com/@amazon|https://www.instagram.com/amazon/,https://www.amazon.in/
14,Teleperformance,3.5,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +161 more,19.6k,74.2k,1.1k,276,1.9k,/overview/teleperformance-overview,1978 (45 yrs old),Private,50k-1 Lakh,1 Lakh+,"Paris, France",,Anish Mukker,,Foreign MNC,B2C|B2B,,,https://www.youtube.com/@TeleperformanceIndiaOfficial,http://www.teleperformance.com
15,Reliance Jio,3.9,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1116 more,19k,67.4k,1.1k,152,2.6k,/overview/reliance-jio-overview,2007 (16 yrs old),Public,50k-1 Lakh,1 Lakh+,"Navi Mumbai, Maharashtra, India",Dumka|Noida,Kiran Thomas,,Corporate,Product|Service|B2C,,,https://www.facebook.com/Jio|https://twitter.com/reliancejio|https://www.youtube.com/@jio,http://www.jio.com
16,IBM,4.1,Software Product | 1 Lakh+ Employees | Public | 112 years old | Armonk +141 more,18.9k,224k,1.4k,3.9k,2.7k,/overview/ibm-overview,1911 (112 yrs old),Public,1 Lakh+,1 Lakh+,"Armonk,New York, United States",Hyderabad/Secunderabad|New Delhi|Pune,Arvind Krishna,,Foreign MNC,Service|B2B|SaaS,,,https://www.facebook.com/LifeAtIBM.India/|https://www.linkedin.com/company/ibm/|https://twitter.com/ibm_in|https://www.youtube.com/@IBM,https://www.ibm.com/
17,Larsen & Toubro Limited,4.0,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +611 more,17.7k,78.1k,1k,177,2.9k,/overview/l-and-t-overview,1938 (85 yrs old),Public,10k-50k,50k-1 Lakh,"Mumbai, Maharashtra, India",Ahmedabad|Hyderabad/Secunderabad|Lucknow,S.N Subrahmanyan,,Indian MNC,Service|B2B,,,https://www.facebook.com/pages/category/Company/Larsen-Toubro-Ltd-721998567834399/|https://twitter.com/larsentoubro?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor|https://www.youtube.com/larsentoubrogroup,https://www.larsentoubro.com/
18,Reliance Retail,3.9,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +945 more,17.4k,57k,1.1k,245,2k,/overview/reliance-retail-limited-overview,2006 (17 yrs old),Private,1 Lakh+,1 Lakh+,"Navi Mumbai, Maharashtra, India",Hyderabad/Secunderabad|Mumbai,Damodar Mall,,Corporate,Service|B2C,customerservice@ril.com,18008910001.0,https://www.facebook.com/relianceretaillimited/|https://twitter.com/rilretail?lang=en|https://www.youtube.com/@reliancedigital,https://relianceretail.com/
19,HDB Financial Services,4.0,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +916 more,16.7k,49.8k,546,66,1.5k,/overview/hdb-financial-services-overview,2007 (16 yrs old),Private,1 Lakh+,1 Lakh+,"Ahmedabad, Gujrat, India",Bhilai Nagar|Guwahati,Jitendra Prajapati,,Corporate,Service|B2C|B2B,,,https://www.facebook.com/HDBFinancialServices/|https://www.linkedin.com/company/hdb-financial-services-ltd|https://twitter.com/hdbfsl|https://www.youtube.com/@HDBFinancialServicesLtd,http://www.hdbfs.com/
